cpu,dahili_hafiza,ekran_boyutu,kamera_cozunurlugu,mobil_baglanti_hizi,pil_gucu,ram_kapasitesi,on_kamera_cozunurluk,isletim_sistemi,brands,price
1.5,128,6.0,20,4.5,3000,8,15,0,19,22150.0
1.0,128,6.0,86,4.5,5000,8,80,0,10,8599.0
2.4,32,5.0,118,4.5,1800,2,10,0,1,3599.0
3.0,128,6.7,50,4.5,4000,4,80,0,30,6299.0
2.0,128,6.0,20,4.5,5000,4,15,0,25,6399.0
2.5,128,6.0,20,4.5,3000,6,15,0,25,8475.0
3.0,256,6.0,20,4.5,5000,8,15,0,25,18999.0
1.5,4,6.7,12,4.0,2800,6,120,0,1,75900.0
1.0,256,6.7,20,5.0,5020,8,20,0,31,13650.0
2.8,128,4.5,5,4.5,1500,4,40,0,23,5269.0
3.0,32,4.5,5,4.5,1500,4,10,0,18,2694.0
2.0,512,6.6,63,5.0,5000,8,20,0,19,55500.0
3.0,256,6.7,120,5.0,5000,16,20,0,30,15999.0
3.0,128,6.0,10,4.5,4000,6,10,0,7,6999.0
2.4,512,6.6,63,5.0,5000,8,20,0,19,55019.0
1.0,32,5.0,76,4.0,4780,2,60,1,1,3199.0
2.5,256,6.1,72,5.0,3200,6,15,1,1,67999.0
3.5,512,6.7,210,5.0,4000,12,40,0,30,20399.0
2.4,128,6.7,54,5.5,3700,8,100,1,19,8499.0
2.8,128,4.5,5,4.5,1500,4,20,0,15,7399.0
1.0,16,6.0,76,5.5,6000,4,60,0,1,26899.0
1.0,256,6.7,72,4.5,20000,32,80,0,17,56000.0
2.8,512,6.7,10,5.0,3000,6,15,1,1,83999.0
2.8,128,6.0,17,3.0,2400,4,120,1,19,5199.0
2.8,128,6.1,54,5.5,4000,4,50,1,1,18319.0
3.0,256,4.5,5,5.0,1500,12,40,0,30,13999.0
2.0,64,6.0,8,4.5,5000,3,10,0,2,3850.0
2.5,256,6.1,72,5.0,3200,6,15,1,1,70999.0
1.5,128,4.5,5,4.5,1500,6,10,0,19,9920.0
2.4,256,6.7,5,5.0,4000,8,60,0,19,39500.0
2.8,128,6.0,20,4.5,5000,4,5,0,23,5489.0
2.8,64,6.0,17,3.0,3700,4,60,1,1,24499.0
1.5,32,6.0,15,4.5,4000,3,10,1,25,2199.0
2.5,128,6.1,20,5.0,3000,6,15,1,1,50999.0
1.0,256,6.0,123,4.0,4000,4,30,0,19,10179.0
2.8,512,6.6,63,5.0,5000,8,20,0,19,54290.0
3.2,256,7.0,20,5.0,4000,12,80,0,30,22999.0
2.5,64,6.0,15,4.5,4000,2,5,0,25,4857.0
3.2,64,5.5,15,5.0,1800,4,15,1,1,34999.0
1.5,128,4.5,5,4.5,1500,4,10,0,23,4659.0
1.0,128,6.4,12,3.0,2800,4,50,0,1,18410.0
2.5,256,6.7,20,5.0,4000,6,60,1,1,60999.0
2.8,32,10.2,140,3.0,4323,3,60,0,1,8399.0
3.5,64,6.53,76,4.0,4000,6,50,1,25,4499.0
3.2,128,5.5,15,5.0,1800,4,15,1,1,36999.0
2.5,128,6.0,20,4.5,5000,6,40,0,19,20250.0
3.5,64,4.5,5,4.5,1500,4,20,0,15,6648.0
3.5,256,6.7,82,4.5,5000,16,20,0,30,9199.0
2.4,128,6.0,20,4.0,5000,4,10,0,2,4769.0
3.2,512,6.7,20,5.0,4000,8,60,1,1,91299.0
3.2,256,6.0,20,4.5,3000,6,40,0,16,15625.0
1.5,128,6.0,17,3.0,3000,6,90,1,25,9999.0
3.5,128,4.5,5,5.0,1500,6,20,0,19,110219.0
2.8,4,6.0,82,4.0,5160,8,30,1,19,21999.0
1.0,512,6.7,210,5.0,5000,12,60,0,8,16349.0
1.5,64,6.0,67,4.0,5160,4,100,1,1,25999.0
3.5,128,5.0,54,3.0,2400,4,90,1,19,10999.0
2.0,64,6.0,13,4.0,2800,4,30,0,1,14979.0
3.5,128,6.67,76,4.0,4000,6,120,0,9,7000.0
2.0,128,4.5,5,4.5,1500,16,10,0,28,8000.0
2.0,64,6.0,15,4.5,5000,4,15,0,30,46890.0
3.0,128,6.5,140,3.0,3700,8,120,0,19,9499.0
2.0,128,6.0,20,4.5,5000,4,10,0,16,6499.0
1.0,256,6.7,20,5.0,4000,8,20,0,25,14997.0
3.2,256,6.1,24,5.0,3095,4,15,1,1,42299.0
2.5,64,6.0,20,4.5,4000,4,15,0,19,11900.0
2.4,64,6.0,32,3.0,2400,4,60,1,1,27089.0
2.4,128,6.5,32,5.5,3110,4,90,0,15,5170.0
1.0,8,5.4,76,5.5,3110,4,50,0,1,39999.0
2.0,256,6.1,24,5.0,3279,6,15,1,1,49299.0
2.4,128,6.8,5,4.5,3000,6,10,0,23,14999.0
2.4,128,6.5,86,5.0,5000,8,40,0,19,15200.0
3.5,256,6.7,50,4.5,6000,8,10,0,23,9999.0
3.5,256,6.5,50,4.5,5000,8,40,0,31,7799.0
1.0,256,4.5,5,4.5,1500,16,10,0,28,10990.0
1.5,128,6.5,123,3.0,3700,2,120,1,19,12129.0
3.0,256,6.7,72,5.0,4323,6,15,1,1,88975.0
1.5,16,6.0,57,3.0,3095,4,50,1,1,2559.0
1.0,128,6.0,20,4.5,5000,6,10,0,19,9199.0
2.8,128,4.5,5,4.5,1500,4,20,0,15,8499.0
1.5,4,6.1,57,5.5,5160,6,80,1,1,49631.0
3.0,128,4.5,5,4.5,1500,4,10,0,20,4399.0
2.5,32,8.0,15,4.5,3000,2,10,1,19,2999.0
2.5,64,6.0,20,4.5,4000,6,20,0,25,10999.0
3.0,64,5.5,76,4.0,6000,4,120,1,1,14199.0
3.2,64,6.1,15,4.5,2815,4,15,1,1,27827.0
2.8,64,4.5,5,4.0,1500,4,10,0,31,4800.0
2.5,64,6.0,20,4.5,4000,4,10,0,19,6334.0
2.0,64,6.0,15,4.5,3000,4,15,0,25,5449.0
3.5,256,6.7,82,4.5,5000,16,20,0,30,9199.0
2.0,64,4.5,5,4.0,1500,4,10,0,31,4940.0
3.2,64,5.5,15,5.0,1800,4,15,1,1,34999.0
2.4,256,4.5,5,5.0,1500,12,40,0,16,42599.0
3.5,128,6.67,54,5.5,20000,6,30,0,25,5799.0
